1.9.2014|31.9.2014
23801|Monokulár prizmatický 4022|Zväčšenie 10 x 20|D|ks|COI|GB|170.84|170.84|168.11|20
23803|Monokulár prizmatický 4025|Zväčšenie 8 x 30|D|ks|COI|GB|172.77|172.77|170.01|20
23802|Monokulár prizmatický 4024|Zväčšenie 7 x 25|D|ks|COI|GB|184.49|184.49|181.55|20
23798|Monokulár prizmatický 4016|Zväčšenie 4 x 12|D|ks|COI|GB|195.98|195.98|192.85|20
23799|Monokulár prizmatický 4018|Zväčšenie 6 x 16|D|ks|COI|GB|195.98|195.98|192.85|20
23797|Monokulár prizmatický 4017|Zväčšenie 4 x 10|D|ks|COI|GB|197.44|195.98|194.28|20
23804|Monokulár prizmatický 4026|Zväčšenie 10 x 30|D|ks|COI|GB|201.00|195.98|197.78|20
23811|Lupa príložná - predsádka k monokuláru 4066 / 20 m|Kombinovateľné s monokulárom 4018, 4020, 4022|D|ks|COI|GB|57.97|57.97|57.05|20
23812|Lupa príložná - predsádka k monokuláru 4068 / 30 m|Kombinovateľné s monokulárom 4024, 4025, 4026|D|ks|COI|GB|69.58|57.97|68.47|20
23813|Nosič k prizmatickému monokuláru 4072|Kombinovateľné s monokulárom 4016, 4017|D|ks|COI|GB|204.81|57.97|201.54|20
56519|Binokulárne okuliare COIL 4090/02|ďalekohľadové, zväčšenie 2x|D|ks|COI|GB|38.42|38.42|37.81|20
56520|Binokulárne okuliare COIL 4090/03|lupové, zväčšenie 1,5 x|D|ks|COI|GB|52.93|52.93|52.09|20
56548|Hyperokulár 5343/01|Zväčšenie 4x priemer 50/40 mm|D|ks|COI|GB|28.91|28.91|28.66|10
56549|Hyperokulár 5344/01|Zväčšenie 5x priemer 50/38 mm|D|ks|COI|GB|28.91|28.91|28.66|10
56550|Hyperokulár 5345/01|Zväčšenie 6x priemer 50/36 mm|D|ks|COI|GB|30.04|30.04|29.78|10
56551|Hyperokulár 5347/01|Zväčšenie 8x priemer 50/34 mm|D|ks|COI|GB|30.04|30.04|29.78|10
